cringe,"[動]ぺこぺこする
crochet,[名]かぎ針編み
crucifixion,[名]キリストのはりつけ
crux,[名]最重要点、難問
crypt,[名]あなぐら、地下室
cryptic,[形]不可解な
curio,[名]骨董品
cursory,[形]大急ぎで行う、いい加減な
dab,[動]軽くたたく
daft,[形]ばかな、気のふれた
dally,[動]時間を浪費する
daub,[名]塗料
daunt,[動]ひるませる
deafening,[形]耳を聞こえなくするような
debit,[名]借方、借方記入
decadence,[名]堕落、頽廃期
decentralize,[動]分散化する
decimate,[動]多くを破壊する
decorum,[名]礼儀正しいこと、上品さ
decoy,[名]おとり
decrepit,[形]老朽化した
deforestation,[名]森林伐採
dejected,[形]落胆した
delineation,[名]描写
delinquency,[名]非行
delirious,[形]精神錯乱した
delirium,[名]精神錯乱
deliverance,[名]救出，救助
demarcation,[名]境界
demography,[名]人口統計学
demoralize,[動]士気をくじく
demure,[形]とりすました
denunciation,[名]非難
depletion,[名]枯渇
deplorable,[形]嘆かわしい、気の毒な
depraved,[形]堕落した
derelict,[名]遺棄物、遺棄船
derisive,[形]嘲笑的な
dermatologist,[名]皮膚科医
derogatory,[形]軽蔑的な
despondent,[形]失望した
despotic,[形]専制的な
destitution,[名]困窮
deterrence,[名]制止，阻止，引き止め
detest,[動]憎む
detour,[名]迂回、回り道
detract,[動]損なう
detriment,[名]損害
detrimental,[形]有害な
deviate,[動]それる，はずれる
devolution,[名]権限委譲
diabolic,[形]悪魔の
diagonal,[名]対角線
dialectic,[名]弁証法
dichotomy,[名]意見の相違
diction,[名]言葉遣い
diffident,[形]気後れしている
dike,[名]堤防
dilapidated,[形]荒れはてた、傾いた
dilate,[動]拡張する
dinghy,[名]救命ボート
dingy,[形]薄汚ない
discerning,[形]識別力のある
discomfiture,[名]困惑
discrete,[形]分離した，個別的な
disheveled,[形]だらしのない
dislodge,[動]取り出す、追い払う
dispensary,[名]薬局、医務室
dissect,[動]解剖する
disseminate,[動](情報を）広める
dissertation,[名]学位論文
dissipate,[動]散らす
dissonance,[名]不一致、不調和
distal,[形]末端の
divergent,[形]異なる
docile,[形]従順な
doldrums,[名]停滞状態
domicile,[名]住居、住所
douse,[動]水をぶっかける
downcast,[形]意気消沈した
dribble,[動]したたらせる、ドリブルする 
drizzle,[名]霧雨
drudgery,[名]単調でつらい仕事
duchy,[名]公爵領
dune,[名]砂丘
dung,[名]糞
earthen,[形]陶製の
eavesdrop,[動]盗み聞きする
ecclesiastical,[形]教会の、聖職者の
eddy,[名]反主流、渦
edify,[動]教化する
efface,[動]削除する
effervescent,[形]興奮した
egalitarian,[名]平等主義者
elation,[名]意気揚々
ellipse,[名]楕円
elucidate,[動]明らかにする
emancipate,[動]解放する
embankment,[名]堤防
embellish,[動]装飾する、飾り立てる
embezzle,[動]横領する、着服する
embroidery,[名]刺繍
embryonic,[形]胎児の、胚の
emissary,[名]使者、特使
encroach,[動]侵食する
engender,[動]引き起こす、発生させる
enjoin,[動]命じる、禁止する
enshrine,[動]祭る
enunciate,[動]明確に述べる
environs,[名]近郊
ephemeral,[名]きわめて短命なもの
epilepsy,[名] てんかん、癲癇
epitome,[名]典型、権化
epitomize,[動]典型的に示す
equestrian,[名]馬術家、曲馬師
escapade,[名]はめを外した行為
esophagus,[名]食道
esoteric,[名]秘教に通じた人、奥義
evict,[動]立ち退かせる
eviction,[名]追い立て
ewe,[名]雌羊
exasperation,[名]憤激
excavate,[動]発掘する
exchequer,[名]国庫
exemplar,[名]手本
exhortation,[名]激励
exorbitant,[形]法外な
exorcise,[動]払い清める
expedient,[形]好都合で
expedite,[動]促進する
exponent,[名]説明者，解釈者
expound,[動]明細に説く、説明する
extemporaneous,[形]即興の
extradite,[動]引き渡す
extricate,[動]解放する
extrovert,[名]外向的な人
exude,[動]しみ出す、発散する
fabrication,"[名]製作
facetious,[形]ふざけた
fallacy,[名]誤信、誤った考え
fastidious,[形]（口）うるさい
fauna,[名]動物区系
feasibility,[名]実行可能なこと
fern,[名]シダ、シダの茂み
fiend,[名]残忍な人
filial,[形]子の
filth,[名]汚物、不潔
